"Age","WM2014pop", "BM2014pop", "WF2014pop","BF2014pop"
01,1505238,346591,1440264,334754
02,1510495,344811,1442274,331836
03,1536727,346493,1464015,333541
04,1531704,344909,1465081,333237
05,1531869,346417,1465568,335887
06,1582822,356548,1512438,346317
07,1596107,356110,1524750,343445
08,1592248,345360,1516810,335442
09,1589433,340110,1515665,328559
10,1597135,336395,1525320,325678
11,1586081,332998,1516333,322861
12,1578949,337241,1509558,327334
13,1616202,348735,1543745,337302
14,1643827,358274,1563618,345988
15,1622360,349461,1544804,337522
16,1621681,350807,1542597,338817
17,1628483,349578,1550134,338753
18,1649504,349970,1560960,339455
19,1682734,367872,1587562,354795
20,1710312,383868,1610764,370629
21,1735032,395024,1628231,378457
22,1777199,399905,1674846,387657
23,1799293,399526,1710626,394397
24,1797544,388909,1712345,389337
25,1731805,360987,1645950,365777
26,1704556,336875,1622409,344120
27,1685038,321201,1601692,332320
28,1697759,313605,1615964,327857
29,1710722,310101,1635820,327522
30,1651322,294089,1590165,315115
31,1678057,296264,1619668,320159
32,1677139,294370,1623534,321123
33,1662328,291084,1611182,319665
34,1696790,303757,1630929,331256
35,1586391,280488,1538119,310675
36,1559330,270096,1516600,299739
37,1539075,264908,1504800,296954
38,1492647,254545,1460545,285066
39,1544686,261006,1506874,291795
40,1490808,250338,1466552,282844
41,1507863,257166,1492850,291307
42,1590100,266410,1570906,300544
43,1698330,276580,1679456,314221
44,1730795,279574,1701585,311137
45,1645521,258434,1625137,288932
46,1607880,259127,1590732,290421
47,1616210,256702,1610808,290503
48,1643197,266713,1637815,299958
49,1748288,279913,1748610,314062
50,1783492,276851,1798716,312511
51,1782857,272357,1808519,308328
52,1790543,268144,1821662,305277
53,1816461,267836,1856358,306388
54,1827498,274870,1860673,312394
55,1767824,260391,1816012,298824
56,1759848,252155,1817527,289533
57,1739099,246658,1805441,288085
58,1672486,234713,1746052,276163
59,1660860,227841,1739772,268623
60,1593776,210386,1686691,253647
61,1537243,195256,1634681,237639
62,1482840,182931,1577990,225761
63,1429814,178794,1532547,223387
64,1391424,173024,1492802,216176
65,1359580,158678,1467732,200746
66,1355507,149141,1466346,189955
67,1433692,139982,1556110,179658
68,1033763,110460,1135241,144887
69,1014990,107981,1125484,143526
70,989405,99846,1111116,133807
71,1017551,95851,1151646,131879
72,873668,85246,1001758,117741
73,787291,77727,919165,111097
74,736473,74354,869170,106974
75,694966,66737,824262,96080
76,657704,61692,795421,92361
77,598445,55904,737188,85472
78,564262,52627,707429,82784
79,532956,48182,685806,78180
80,472016,42004,618430,70225
81,448821,38371,604269,66300
82,422099,33607,585139,60524
83,393899,29518,563810,55311
84,365838,27583,543809,53377
85,1882975,136175,3569109,327938 

